,tair,t_heat_sp,t_heat_vip,t_slab1,tout
0,19.8,21.1,20.0,22.4,10.7
1,19.7,21.1,20.0,22.3,10.80000001
2,19.6,21.1,20.0,22.3,10.89999999
3,19.6,21.1,20.0,22.3,10.80000001
4,19.6,21.1,20.0,22.3,10.8
5,19.6,21.1,20.0,22.2,10.9
6,19.5,21.1,20.0,22.1,10.9
7,19.5,21.1,20.0,22.1,10.9
8,19.5,21.1,20.0,22.1,10.80000001
9,19.7,21.1,20.0,22.1,10.8
10,19.9,21.1,20.0,22.1,10.59999999
11,20.1,21.1,20.0,22.1,10.50000001
12,20.3,21.1,20.0,22.1,10.40000001
13,20.4,21.1,20.0,22.1,10.4
14,20.4,21.1,20.0,22.1,10.3
15,20.4,21.1,20.0,22.1,10.3
16,20.5,21.1,20.0,22.1,10.3
17,20.4,21.1,20.0,22.1,10.10000001
18,20.4,21.1,20.0,22.1,10.3
19,20.4,21.1,20.0,22.1,10.2
20,20.3,21.1,20.0,22.1,10.2
21,20.3,21.1,20.0,22.0,10.10000001
22,20.3,21.1,20.0,22.0,10.1
23,20.2,21.1,20.0,21.9,10.1
24,20.1,21.1,20.0,21.9,10.1
25,20.1,21.1,20.0,21.9,10.1
26,20.0,21.1,20.0,21.9,10.1
27,20.1,21.1,20.0,21.9,10.2
28,20.2,21.1,20.0,21.9,10.10000001
29,20.0,21.1,20.0,21.9,10.29999997
30,20.0,21.1,20.0,21.9,10.3
31,19.8,21.1,20.0,21.9,10.4
32,19.8,21.1,20.0,21.8,10.2
33,19.8,21.1,20.0,21.8,10.2
34,19.9,21.1,20.0,21.8,10.2
35,19.9,21.1,20.0,21.8,10.10000001
36,19.8,21.1,20.0,21.8,10.1
37,19.8,21.1,20.0,21.7,10.10000001
38,19.8,21.1,20.0,21.6,10.19999999
39,19.8,21.1,20.0,21.6,10.10000001
40,19.8,21.1,20.0,21.6,10.1
41,19.8,21.1,20.0,21.6,10.1
42,19.8,21.1,20.0,21.6,10.00000001
43,19.7,20.0,20.0,21.6,10.09999999
44,19.8,20.1,20.1,21.6,10.1
45,19.8,20.2,20.2,21.6,10.1
46,19.7,20.3,20.3,21.6,10.0
47,19.8,20.4,20.4,21.6,10.0
48,19.9,20.5,20.5,21.6,10.0
49,20.1,20.6,20.6,21.6,10.0
50,20.2,20.7,20.7,21.6,9.999999997
51,20.3,20.8,20.8,21.6,9.89999999
52,20.3,20.9,20.9,21.6,9.800000013
53,20.4,21.0,21.0,21.6,9.899999993
54,20.5,21.1,21.1,21.6,9.8
55,20.6,21.2,21.2,21.6,9.800000007
56,20.8,21.3,21.3,21.6,9.899999987
57,21.0,21.4,21.4,21.6,9.80000001
58,21.0,21.5,21.5,21.7,9.8
59,21.0,21.6,21.6,21.8,9.899999997
60,21.1,21.7,21.7,21.8,9.80000001
61,21.1,21.8,21.8,21.8,9.899999987
62,21.2,21.1,21.9,21.8,9.9
63,21.4,21.1,22.0,21.9,10.0
64,21.9,21.1,22.0,21.9,10.00000001
65,22.7,21.1,22.0,21.9,10.19999997
66,23.5,21.1,22.0,22.0,10.10000001
67,24.0,21.1,22.0,22.1,10.1
68,24.4,21.1,22.0,22.1,10.29999999
69,24.7,21.1,22.0,22.2,10.10000001
70,24.9,21.1,22.0,22.4,10.19999999
71,24.9,21.1,22.0,22.4,10.10000001
72,24.9,21.1,22.0,22.5,10.0
73,25.0,21.1,22.0,22.6,10.1
74,24.9,21.1,22.0,22.6,10.1
75,24.9,21.1,22.0,22.7,10.00000001
76,24.8,21.1,22.0,22.7,9.900000003
77,24.8,21.1,22.0,22.8,9.8
78,24.8,21.1,22.0,22.9,9.80000001
79,24.6,21.1,22.0,22.9,9.899999987
80,24.6,21.1,22.0,22.9,9.60000002
81,24.6,21.1,22.0,22.9,9.5
82,24.4,21.1,22.0,22.9,9.5
83,24.4,21.1,22.0,22.9,9.5
84,24.3,21.1,22.0,22.9,9.10000004
85,24.3,21.1,22.0,22.9,8.700000013
86,24.3,21.1,22.0,23.0,8.399999997
87,24.2,21.1,22.0,23.0,8.3
88,24.2,21.1,22.0,23.0,8.3
89,24.2,21.1,22.0,23.0,8.200000007
90,24.2,21.1,22.0,23.0,8.3
91,24.2,22.0,22.0,23.0,8.300000013
92,24.1,22.1,22.1,23.0,8.499999973
93,24.2,22.2,22.2,23.0,8.5
94,24.3,22.3,22.3,23.0,8.5
95,24.2,22.4,22.4,23.1,8.300000003
96,24.1,22.5,22.5,23.1,8.40000001
97,24.1,22.6,22.6,23.1,8.499999987
98,24.0,22.7,22.7,23.1,8.5
99,23.9,22.8,22.8,23.1,8.5
100,23.8,21.1,22.9,23.1,8.7
101,23.8,21.1,23.0,23.1,8.7
102,23.7,21.1,23.0,23.1,8.7
103,23.6,21.1,23.0,23.1,8.7
104,23.4,21.1,23.0,23.0,8.700000003
105,23.3,21.1,23.0,23.1,8.8
106,23.7,21.1,23.0,23.1,8.8
107,23.8,21.1,23.0,23.1,8.899999993
108,23.7,21.1,23.0,23.1,9.0
109,24.0,21.1,23.0,23.1,9.000000007
110,24.0,21.1,23.0,23.1,9.099999987
111,24.0,21.1,23.0,23.2,9.1
112,23.9,21.1,23.0,23.2,9.199999997
113,24.0,21.1,23.0,23.3,9.3
114,23.9,21.1,23.0,23.3,9.3
115,23.9,21.1,23.0,23.3,9.3
116,23.8,21.1,23.0,23.3,9.200000007
117,23.7,21.1,23.0,23.3,9.2
118,23.7,21.1,23.0,23.3,9.2
119,23.4,21.1,23.0,23.3,9.2
120,23.3,21.1,23.0,23.3,9.2
121,23.3,21.1,23.0,23.3,9.2
122,23.3,21.1,23.0,23.3,9.2
123,23.4,21.1,23.0,23.3,9.20000001
124,23.4,21.1,23.0,23.3,9.299999987
125,23.4,21.1,23.0,23.4,9.3
126,23.5,21.1,23.0,23.4,9.4
127,23.4,21.1,23.0,23.4,9.400000013
128,23.5,21.1,23.0,23.4,9.599999973
129,23.5,21.1,23.0,23.4,9.6
130,23.5,21.1,23.0,23.4,9.6
131,23.4,21.1,23.0,23.4,9.6
132,23.5,21.1,23.0,23.4,9.6
133,23.4,21.1,23.0,23.4,9.6
134,23.4,21.1,23.0,23.4,9.6
135,23.3,21.1,23.0,23.4,9.6
136,23.3,21.1,23.0,23.4,9.5
137,23.3,21.1,23.0,23.4,9.5
138,23.2,21.1,23.0,23.4,9.5
139,23.1,21.1,23.0,23.4,9.5
140,23.2,21.1,23.0,23.4,9.500000003
141,23.1,21.1,23.0,23.4,9.6
142,23.1,21.1,23.0,23.4,9.6
143,23.2,21.1,23.0,23.4,9.699999993
144,23.2,21.1,23.0,23.4,9.7
145,23.1,21.1,23.0,23.4,9.8
146,23.2,21.1,23.0,23.4,9.8
147,23.2,21.1,23.0,23.4,9.8
148,23.0,21.1,23.0,23.4,9.8
149,22.9,21.1,23.0,23.3,9.800000003
150,23.0,21.1,23.0,23.3,9.9
151,23.0,21.1,23.0,23.3,9.9
152,22.9,21.1,23.0,23.3,9.999999993
153,22.8,21.1,23.0,23.3,10.0
154,22.8,21.1,23.0,23.3,9.999999993
155,22.7,21.1,23.0,23.3,9.900000013
156,22.6,21.1,23.0,23.3,9.60000003
157,22.7,21.1,23.0,23.3,9.500000003
158,22.7,21.1,23.0,23.3,9.500000003
159,22.9,21.1,23.0,23.3,9.6
160,22.9,21.1,23.0,23.3,9.6
161,22.9,21.1,23.0,23.3,9.699999993
162,22.9,21.1,23.0,23.3,9.7
163,22.9,21.1,23.0,23.3,9.699999993
164,22.9,21.1,23.0,23.3,9.600000013
165,22.9,21.1,23.0,23.3,9.69999999
166,23.0,21.1,23.0,23.3,9.600000003
167,23.2,21.1,23.0,23.3,9.8
168,23.3,21.1,23.0,23.3,9.80000002
169,23.3,21.1,23.0,23.4,9.999999973
170,23.3,21.1,23.0,23.4,10.09999999
171,23.3,21.1,23.0,23.4,10.2
172,23.4,21.1,23.0,23.4,10.4
173,23.3,21.1,23.0,23.4,10.4
174,23.5,21.1,23.0,23.4,10.4
175,23.3,21.1,23.0,23.4,10.4
176,23.3,21.1,23.0,23.4,10.4
177,23.3,21.1,23.0,23.4,10.4
178,23.4,21.1,23.0,23.4,10.4
179,23.2,21.1,23.0,23.4,10.49999999
180,23.1,21.1,23.0,23.4,10.6
181,23.1,21.1,23.0,23.4,10.6
182,22.9,21.1,23.0,23.4,10.6
183,22.9,21.1,23.0,23.4,10.89999997
184,22.9,21.1,23.0,23.4,10.9
185,22.8,21.1,23.0,23.4,10.9
186,22.7,21.1,23.0,23.4,11.0
187,22.7,21.1,23.0,23.3,11.0
188,22.7,21.1,23.0,23.3,11.19999999
189,22.8,21.1,23.0,23.3,11.1
190,22.7,21.1,23.0,23.3,11.19999999
191,22.8,21.1,23.0,23.3,11.10000001
192,22.9,21.1,23.0,23.3,11.1
193,22.9,21.1,23.0,23.3,11.29999999
194,23.2,21.1,23.0,23.3,11.3
195,23.4,21.1,23.0,23.3,11.4
196,23.5,21.1,23.0,23.3,11.4
197,23.7,21.1,23.0,23.4,11.49999999
198,23.8,21.1,23.0,23.4,11.4
199,23.8,21.1,23.0,23.4,11.4
200,23.8,21.1,23.0,23.4,11.4
